program_ID,program_name,response_date,signal_number,Asking/Defining Problems,Making Observations,Generate data,data Modeling,"Interpreting, Communicate finding",Any Work With Data,Sum Work With Data,KLS_qual,HM_qual,KMS_qual,Josh notes
1,Boston - Dorchester House,7/14/15,1,0,0,1,0,1,1,2,NA,"-the students are filling out a sheet individually (seems to be a quiz to determine how much students already know, but that is just a guess)
-it looks like the teacher is filling out one too?
-so it's a math sheet that includes word problems about ratios","- instructor hands out papers (students seem to be taking a quiz or worksheet; instructor tells students to ""just fill out"" any questions they do not know and they will go over the answers once they are finished); students filling out test quietly
- instr",
1,Boston - Dorchester House,7/14/15,2,NA,NA,NA,NA,NA,0,0,NA,"-the students are listening to the teacher give a lesson on ratios
-(the teacher's audio cuts in and out on this video)
-at 3:40 the audio cut out completely which may be why they did not code this video
-so I see the students are measuring themselves (ge","- instructor doing a math problem on the board for the students (audio for this clip is messed up, can't tell what the instructor is saying, instructors microphone completely cuts out at 3:28 ) 
- No audio for rest of clip",
1,Boston - Dorchester House,7/14/15,3,NA,NA,NA,NA,NA,0,0,NA,(no video),#NAME?,
1,Boston - Dorchester House,7/14/15,4,1,0,1,1,1,1,4,NA,"-the teacher is messing around with some beats on a computer, mixing them (sorta like a garage band kind of thing) while the students watch from behind him
-he asks their opinions on the audio samples (but the students aren't saying much)
-this seems to b","- instructor playing through music tracks, asking a small group of students what they like ""I can play that one for you guys and you can learn from that one if you like....I can teach you the steps""; points to the computer screen ""that's the beat"" (seems ",
1,Boston - Dorchester House,7/15/15,1,0,0,1,0,1,1,2,NA,"-looks like students are doing another math worksheet (I think about graphing)
-The students are generating data in tables and a double line graph based on the information they gathered (through a survey I think) 
----at least one of the students gathered","- students around a table, instructor seems to be talking to them about a project they are working on (seems to be related to music) and looking over the worksheets that are sitting in front of the students; instructor suggests students use excell to make",
1,Boston - Dorchester House,7/15/15,2,0,0,0,0,0,0,0,NA,NA,"- students sitting around a table, instructor splits them into 2 teams to do ""math trivia""
- instructor reads off questions to one teams and allows them 30 seconds to write down the right answer for a point (""simplify the ratio 24:30""); teams discuss and ",
1,Boston - Dorchester House,7/15/15,3,0,0,0,0,0,0,0,NA,NA,#NAME?,
1,Boston - Dorchester House,7/15/15,4,0,0,0,0,0,0,0,NA,NA,#NAME?,
1,Boston - Dorchester House,7/21/15,1,0,0,1,0,0,1,1,NA,"-students are seperated into two teams of three and four students(boys and girls) to do a ""recipe ratio challenge""
----the team that finishes correctly gets the choice of whether the teacher will bring in brownies, cupcakes, or cookies
----so the students","- students get into two teams to do a ""recipe-ratio challenge""; students will work to finish their problems correctly and first to see who wins
- students will re-write the measurements they are given so that the recipe serves the number of students in th",
1,Boston - Dorchester House,7/21/15,2,0,1,1,0,0,1,2,NA,"-students are working on a project/worksheet at a table in the gymnasium (I don't know why they're in the gym)
-they are still working on their recipe project
-after they finish they are expected to write their answers on a giant piece of paper, sharing f","- students sitting at tables in a gym; students working on projects (seem to be making recipes/converting measurements into different numbers of servings), students doing necessary math first on pieces of paper and getting ready to put them on posters (Ge",
1,Boston - Dorchester House,7/21/15,3,1,0,0,1,0,1,2,NA,"-there is no sound for the first 45 seconds of the video
-students are transferring picture they drew to triangular pieces of felt (they are meant to be banners, similar to ones you see for universities) about what they want to be when they grew up
----th","- instructor tells students they will transfer their pictures they drew onto banners (sounds like they drew pictures of their future careers); students given construction paper, glue, eyeballs, feathers, etc. 
- students decorating banners pertaining to t",
1,Boston - Dorchester House,7/21/15,4,1,0,1,0,1,1,3,NA,"-there is a student in what looks like a recording booth, he's freestyle rapping (and is actually not bad)
-but they take the survey like a minute into the video?
should we maybe watch the video right before and code that as ESM4?",#NAME?,
1,Boston - Dorchester House,7/22/15,1,0,0,1,1,1,1,3,NA,"-the students are pasting pictures to a giant sheet of paper (presumably the pictures they printed out earlier in the program?)
-the video only focuses on the teacher, so it's unclear what the students are doing (but you can see AND hear the teacher eatin","- students gluing pictures and drawing on posters
- instructor walking around looking at students' work, engaging in conversation with some students, answering students' questions and giving suggestions
- Did not see any explicit evidence of generating, m",
1,Boston - Dorchester House,7/22/15,2,0,0,1,0,1,1,2,NA,"-students are still working on the same project because next week they are expected to move on to something else
-I can see how they may be communicating findings because they are writing they're results on the sheet of paper in order to present they're f","- students continuing to work on poster projects 
- instructor helping out a student, tells the student where his ""table"" and ""line graph"" go, asking questions about his table, ""you are using the numbers from the survey""
- instructor asking student how he",
1,Boston - Dorchester House,7/22/15,3,0,0,1,0,0,1,1,NA,"-the students are in a kitchen, mixing something together (based on the eggs on the counter I think they are baking)
-each student is assigned to a group that is in charge of a particular step in the baking(?) process
-the students are signaled at 5 minut",#NAME?,
1,Boston - Dorchester House,7/22/15,4,0,0,1,0,0,1,1,NA,#NAME?,#NAME?,
1,Boston - Dorchester House,7/28/15,1,1,0,0,0,0,1,1,NA,"-it seems like there is a new student in the class now? (I didn't see the Asian girl in pink before)
-the class splits in two groups for a competition, the teacher asks the students to assign one person as scribe
-he gives them a riddle, ""two fathers and ",#NAME?,
1,Boston - Dorchester House,7/28/15,2,0,0,0,0,0,0,0,NA,#NAME?,NA,
1,Boston - Dorchester House,7/28/15,3,0,0,0,1,0,1,1,NA,"-Their class topic is ""success""
-they are writing words on the board (as a class) that they associate with success
-then they pick one of the words, and then they are going to write it on a piece of paper and draw pictures that go along with it, which the","- students sitting at a table, instructor asks for a volunteer to ""write some words on the board"" for her
- instructor reminds students of what they had discussed previously in terms of what teh students think success is, asks students to think of other w",
1,Boston - Dorchester House,7/28/15,4,0,0,1,0,0,1,1,NA,"-the students are back in the recording room
-they have a week and a half to make a song: the beat is done and some of the lyrics are done but they still need to write a hook and record the whole thing
-one of the students is selected to rap the song they",#NAME?,
1,Boston - Dorchester House,7/29/15,1,0,0,1,0,1,1,2,NA,"-students are working on one-step word problems
-some of the students are still working on their research poster
(only a 3 minute video)","- instructor handing out worksheets with word problems
- instructor gives candy to the ""winning team yesterday"" while the students are working on the word problems (generating) 
- Did not see any examples of communicating data",
1,Boston - Dorchester House,7/29/15,2,0,0,0,0,0,0,0,NA,#NAME?,NA,
1,Boston - Dorchester House,7/29/15,3,0,0,1,0,0,1,1,NA,"-so apparently this is their cooking class, and today they are making apple pie
-one student said they are allergic to apples and cinnamon but the teacher disregards them and assumes they are joking (which I think they are, but we can't be sure)
-so is th",#NAME?,
1,Boston - Dorchester House,7/29/15,4,0,1,0,0,0,1,1,NA,"-they are still in the kitchen (I guess they're waiting for the pie to bake?)
-the teacher gets nutrition worksheets for the students to do while they're waiting (the teacher is very clearly just killing time while the pie bakes)
-they are taking a vegeta","- students in kitchen doing non-instructional activity 
- instructor gives students ""vegetable quiz"", questions are about what type of roots are edible, what vegtables are flowers, what part of the celery do you eat, instructor asks all of the students th",
2,Boston - Mathpower,7/14/15,1,1,0,1,0,1,1,3,NA,"-there are three instructors in the room
-the students are quietly working on an assignment individually and the teacher has set a timer for five minutes
-They are using a series of numbers written on the board and need to use various forms of math to mak","- teacher is giving students 5 minutes to complete an activity (seems to be a puzzle or something similar using 5 numbers written on the board) (asking)
- instructor walking around helping students (says something about using exponents, I believe they had",
2,Boston - Mathpower,7/14/15,2,1,0,1,1,1,1,4,NA,"-the male teacher (Mr. B) gives his answer for the problem on the board, and the student are meant to check his answer (he got it wrong, but I'm not sure if that was intentional. it seems like it was?)
---- (problem was 253-947= -866)
----a student volunt","- students and instructors solving a subtraction problem on the board (subtracting a bigeer 3-digit number form a smaller one to get a negative number), students say the problem was done wrong after one instructor gives his answer, one student does how he",
2,Boston - Mathpower,7/14/15,3,1,0,1,1,1,1,4,NA,"-in the beginning in the video we catch the tail end of the teacher demonstrating the answer for the last problem they were working on and showing her work
-she says they were going to do ""my favorite no"" activity but everyone got the problem correct so t","- lecturer up front with several equations on the board, talking about multiplying decimals (modeling, communicating [done by instructor])
- students expresses her confusion with it and where she had a misunderstanding before
- lecturer reads off an equat",
