program_ID,program_name,response_date,signal_number,Asking,Observe,Generate,Model,Communicate,Any Work With Data,Sum Work With Data,Qualitative Coding,Initials,Josh notes
1,Boston - Dorchester House,2015-07-14,1,0,0,1,0,1,1,2,"- instructor hands out papers (students seem to be taking a quiz or worksheet; instructor tells students to ""just fill out"" any questions they do not know and they will go over the answers once they are finished); students filling out test quietly
- instructor asks students for volunteers to do the problems up on the board; volunteers write their answers on the board (seems to be about ratios) (generate - done by students coming up with answers to the problems) 
- instructor tells students they will be starting a group project after they are done with their current task; students sitting around waiting for the other students to write their answers on the board
- instructor reiterates the questions and discusses the answers the students written on the board (asks students for other ways to do the problem, asks students to explain how they did the math problem, asks students why they did something) (Communicating - done through instructor asking students questions about what they did and students explaining) ",KMS,
1,Boston - Dorchester House,2015-07-14,2,,,,,,0,0,"- instructor doing a math problem on the board for the students (audio for this clip is messed up, can't tell what the instructor is saying, instructors microphone completely cuts out at 3:28 ) 
- No audio for rest of clip",,
1,Boston - Dorchester House,2015-07-14,3,,,,,,0,0,- No clip for this signal,,
1,Boston - Dorchester House,2015-07-14,4,1,0,1,1,1,1,4,"- instructor playing through music tracks, asking a small group of students what they like ""I can play that one for you guys and you can learn from that one if you like....I can teach you the steps""; points to the computer screen ""that's the beat"" (seems to be showing the students the visual sound track of a song)
- instructor working with one student while others watch; lets the stuident pick a beat
- Instructor shows one student how to put together a song one the computer while the others watch
- instructor plays beat while one student raps to the beat they created; shows the students how he puts the song together while the song plays (adjusting sound)
- Did not explicitly hear any conversation about how this was related to math or data, I'm assuming they may have used the ratios used in music to tie it in, in which case the making of the song may have been the students observing the model the instructor has created with the help of some students
- did not see any asking about data, generating data, or communicating data",KMS,
1,Boston - Dorchester House,2015-07-15,1,0,0,1,0,1,1,2,"- students around a table, instructor seems to be talking to them about a project they are working on (seems to be related to music) and looking over the worksheets that are sitting in front of the students; instructor suggests students use excell to make their graphs, suggests to one student that he should look up if chris brown or trey songz has more fans
- students go to computer lab to print out pictures for their project posters; students look up pictures and ask questions on how to print them (one student is doing ""video games vs. reading"")
- did not see any examples of generating or communicating data ",KMS,
1,Boston - Dorchester House,2015-07-15,2,0,0,0,0,0,0,0,"- students sitting around a table, instructor splits them into 2 teams to do ""math trivia""
- instructor reads off questions to one teams and allows them 30 seconds to write down the right answer for a point (""simplify the ratio 24:30""); teams discuss and give the instructor their answer
- I would have said they were discussing",KMS,
1,Boston - Dorchester House,2015-07-15,3,0,0,0,0,0,0,0,"- students sitting in a kitchen to make strawberry shortcakes
- students take survey
- students wash hands, use george foreman grill, add toppings
- no discussion about anything math-related",KMS,
1,Boston - Dorchester House,2015-07-15,4,0,0,0,0,0,0,0,"- students in kitchen making strawberry shortcakes
- students take survey
- no discussion about anything math-related",KMS,
1,Boston - Dorchester House,2015-07-21,1,0,0,1,0,0,1,1,"- students get into two teams to do a ""recipe-ratio challenge""; students will work to finish their problems correctly and first to see who wins
- students will re-write the measurements they are given so that the recipe serves the number of students in the program (generating)
- instructor tells the students how they will do their conversions; students start doing their conversions; instructor answers students' questions as they ask them
- I would have said they were modeling",KMS,
1,Boston - Dorchester House,2015-07-21,2,0,1,1,0,0,1,2,"- students sitting at tables in a gym; students working on projects (seem to be making recipes/converting measurements into different numbers of servings), students doing necessary math first on pieces of paper and getting ready to put them on posters (Generating)
- instructor giving the groups suggestions for their poster and answering questions
- students take survey
- students continue working on posters
- students were not observing any occuring phenomena 
- I would say the students were modeling with their recipe measurement conversions ",KMS,
1,Boston - Dorchester House,2015-07-21,3,1,0,0,1,0,1,2,"- instructor tells students they will transfer their pictures they drew onto banners (sounds like they drew pictures of their future careers); students given construction paper, glue, eyeballs, feathers, etc. 
- students decorating banners pertaining to their future occupation
- There was no discussion about anything math related ",KMS,
1,Boston - Dorchester House,2015-07-21,4,1,0,1,0,1,1,3,"- one student in a booth rapping while the rest of the students are listening and making comments
- students take survey 
- students and instructor talking about non-STEM related topics
- Did not see any examples of asking, generating, or communicating data ",KMS,
1,Boston - Dorchester House,2015-07-22,1,0,0,1,1,1,1,3,"- students gluing pictures and drawing on posters
- instructor walking around looking at students' work, engaging in conversation with some students, answering students' questions and giving suggestions
- Did not see any explicit evidence of generating, modeling, or communicating data. However, this may have been the aim of the projects the students are working on even though it was not stated in this clip",KMS,
1,Boston - Dorchester House,2015-07-22,2,0,0,1,0,1,1,2,"- students continuing to work on poster projects 
- instructor helping out a student, tells the student where his ""table"" and ""line graph"" go, asking questions about his table, ""you are using the numbers from the survey""
- instructor asking student how he got a certain number, offers suggestions to the student to help him put together his table 
- instructor tells another group of students they can go print off more pictures to fill up space on their poster 
- students take survey 
- students continue working on project, instructor tells some students where the ""ratio table"" goes and reminds them to label their tables 
- Did not see eny evidence of students generating data (although it seems that that is something they did previously), The only communicating I saw was when the instructor was talking to them about their projects but it was more geared towards the layout of the project rather than the results of their research or data 
- Modeling may have happened when the students were putting together their data into tables ",KMS,
1,Boston - Dorchester House,2015-07-22,3,0,0,1,0,0,1,1,"- students in kitchen following a recipe with the supervision of an instructor 
- instructor giving the students tips for preparing their ingredients, students mixing ingredients 
- students take survey 
- students continue baking 
- Did not see any exmaples of students generating data",KMS,
