program_ID,program_name,response_date,signal_number,Asking/Defining Problems,Making Observations,Generate data,data Modeling,"Interpreting, Communicate finding",Any Work With Data,Sum Work With Data,KLS_qual,HM_qual,KMS_qual
1,Boston - Dorchester House,2015-07-14,1,0,0,1,0,1,1,2,NA,"-the students are filling out a sheet individually (seems to be a quiz to determine how much students already know, but that is just a guess)
-it looks like the teacher is filling out one too?
-so it's a math sheet that includes word problems about ratios
-students are asked to volunteer and write their answer on the board (sharing findings)
-generating data must have been coded for the ""data"" students generated being their answers to the math problem
-the teacher then goes over the answers with the entire class
-NOTE: this video is 18 minutes long","- instructor hands out papers (students seem to be taking a quiz or worksheet; instructor tells students to ""just fill out"" any questions they do not know and they will go over the answers once they are finished); students filling out test quietly
- instructor asks students for volunteers to do the problems up on the board; volunteers write their answers on the board (seems to be about ratios) (generate - done by students coming up with answers to the problems) 
- instructor tells students they will be starting a group project after they are done with their current task; students sitting around waiting for the other students to write their answers on the board
- instructor reiterates the questions and discusses the answers the students written on the board (asks students for other ways to do the problem, asks students to explain how they did the math problem, asks students why they did something) (Communicating - done through instructor asking students questions about what they did and students explaining)"
1,Boston - Dorchester House,2015-07-14,2,NA,NA,NA,NA,NA,0,0,NA,"-the students are listening to the teacher give a lesson on ratios
-(the teacher's audio cuts in and out on this video)
-at 3:40 the audio cut out completely which may be why they did not code this video
-so I see the students are measuring themselves (generating data?) but because there is no audio I do not know what the purpose is
-they then go back to writing on their papers (no way of knowing what is on the paper with no audio)","- instructor doing a math problem on the board for the students (audio for this clip is messed up, can't tell what the instructor is saying, instructors microphone completely cuts out at 3:28 ) 
- No audio for rest of clip"
1,Boston - Dorchester House,2015-07-14,3,NA,NA,NA,NA,NA,0,0,NA,(no video),- No clip for this signal
1,Boston - Dorchester House,2015-07-14,4,1,0,1,1,1,1,4,NA,"-the teacher is messing around with some beats on a computer, mixing them (sorta like a garage band kind of thing) while the students watch from behind him
-he asks their opinions on the audio samples (but the students aren't saying much)
-this seems to be an introduction to a project they will be doing (making their own songs)
-the teacher shows them examples from previous years (which are actually pretty good!) and it seems like they can work on these in groups","- instructor playing through music tracks, asking a small group of students what they like ""I can play that one for you guys and you can learn from that one if you like....I can teach you the steps""; points to the computer screen ""that's the beat"" (seems to be showing the students the visual sound track of a song)
- instructor working with one student while others watch; lets the stuident pick a beat
- Instructor shows one student how to put together a song one the computer while the others watch
- instructor plays beat while one student raps to the beat they created; shows the students how he puts the song together while the song plays (adjusting sound)
- Did not explicitly hear any conversation about how this was related to math or data, I'm assuming they may have used the ratios used in music to tie it in, in which case the making of the song may have been the students observing the model the instructor has created with the help of some students
- did not see any asking about data, generating data, or communicating data"
1,Boston - Dorchester House,2015-07-15,1,0,0,1,0,1,1,2,NA,"-looks like students are doing another math worksheet (I think about graphing)
-The students are generating data in tables and a double line graph based on the information they gathered (through a survey I think) 
----at least one of the students gathered information about whether people like Trey Songz or Chris Brown (but I don't know if they all gathered the same type of information)
----so far the teacher has called the graph a double line graph, double number graph, number line graph
-one of the students asks what the next step of their assignment is, and the teacher (pretty much) tells him to stay on task
-the teacher wanted to use excel to graph their data but not all (if any) of the computer has microsoft excel so the students are looking up pictures instead (the pictures relate to a class assignment, but I'm not sure how)
----they are printing the pictures they select","- students around a table, instructor seems to be talking to them about a project they are working on (seems to be related to music) and looking over the worksheets that are sitting in front of the students; instructor suggests students use excell to make their graphs, suggests to one student that he should look up if chris brown or trey songz has more fans
- students go to computer lab to print out pictures for their project posters; students look up pictures and ask questions on how to print them (one student is doing ""video games vs. reading"")
- did not see any examples of generating or communicating data"
1,Boston - Dorchester House,2015-07-15,2,0,0,0,0,0,0,0,NA,NA,"- students sitting around a table, instructor splits them into 2 teams to do ""math trivia""
- instructor reads off questions to one teams and allows them 30 seconds to write down the right answer for a point (""simplify the ratio 24:30""); teams discuss and give the instructor their answer
- I would have said they were discussing"
1,Boston - Dorchester House,2015-07-15,3,0,0,0,0,0,0,0,NA,NA,"- students sitting in a kitchen to make strawberry shortcakes
- students take survey
- students wash hands, use george foreman grill, add toppings
- no discussion about anything math-related"
1,Boston - Dorchester House,2015-07-15,4,0,0,0,0,0,0,0,NA,NA,"- students in kitchen making strawberry shortcakes
- students take survey
- no discussion about anything math-related"
1,Boston - Dorchester House,2015-07-21,1,0,0,1,0,0,1,1,NA,"-students are seperated into two teams of three and four students(boys and girls) to do a ""recipe ratio challenge""
----the team that finishes correctly gets the choice of whether the teacher will bring in brownies, cupcakes, or cookies
----so the students have to take a recipe that serves 20 people and figure out what measurements to use for ingredients to serve specific amounts of people (the amount of people in their class, the amount of people in the summer camp, etc.) and then they have to explain what they did on the poster board
-I suppose they're generating data as they do the convertions with ratios, as they are coming up with new data sets","- students get into two teams to do a ""recipe-ratio challenge""; students will work to finish their problems correctly and first to see who wins
- students will re-write the measurements they are given so that the recipe serves the number of students in the program (generating)
- instructor tells the students how they will do their conversions; students start doing their conversions; instructor answers students' questions as they ask them
- I would have said they were modeling"
1,Boston - Dorchester House,2015-07-21,2,0,1,1,0,0,1,2,NA,"-students are working on a project/worksheet at a table in the gymnasium (I don't know why they're in the gym)
-they are still working on their recipe project
-after they finish they are expected to write their answers on a giant piece of paper, sharing findings
-the girls finish their work and the boys are very behind","- students sitting at tables in a gym; students working on projects (seem to be making recipes/converting measurements into different numbers of servings), students doing necessary math first on pieces of paper and getting ready to put them on posters (Generating)
- instructor giving the groups suggestions for their poster and answering questions
- students take survey
- students continue working on posters
- students were not observing any occuring phenomena 
- I would say the students were modeling with their recipe measurement conversions"
1,Boston - Dorchester House,2015-07-21,3,1,0,0,1,0,1,2,NA,"-there is no sound for the first 45 seconds of the video
-students are transferring picture they drew to triangular pieces of felt (they are meant to be banners, similar to ones you see for universities) about what they want to be when they grew up
----the students are also able to add things to their banners besides the drawings
-""what's the next step on your road to success?""
-they are asking questions about themselves, and reflecting on what they want to do when they get older, but not asking about science (though one student said she wanted to be a nurse, which is science related)
-this is coded for working with data models, but if they are it isn't science-related","- instructor tells students they will transfer their pictures they drew onto banners (sounds like they drew pictures of their future careers); students given construction paper, glue, eyeballs, feathers, etc. 
- students decorating banners pertaining to their future occupation
- There was no discussion about anything math related"
1,Boston - Dorchester House,2015-07-21,4,1,0,1,0,1,1,3,NA,"-there is a student in what looks like a recording booth, he's freestyle rapping (and is actually not bad)
-but they take the survey like a minute into the video?
should we maybe watch the video right before and code that as ESM4?","- one student in a booth rapping while the rest of the students are listening and making comments
- students take survey 
- students and instructor talking about non-STEM related topics
- Did not see any examples of asking, generating, or communicating data"
1,Boston - Dorchester House,2015-07-22,1,0,0,1,1,1,1,3,NA,"-the students are pasting pictures to a giant sheet of paper (presumably the pictures they printed out earlier in the program?)
-the video only focuses on the teacher, so it's unclear what the students are doing (but you can see AND hear the teacher eating)
-I guess the project is about they're research (I think the one before where they were surveying opinions. some did music artists, looks like some did shoes, some did cars)","- students gluing pictures and drawing on posters
- instructor walking around looking at students' work, engaging in conversation with some students, answering students' questions and giving suggestions
- Did not see any explicit evidence of generating, modeling, or communicating data. However, this may have been the aim of the projects the students are working on even though it was not stated in this clip"
1,Boston - Dorchester House,2015-07-22,2,0,0,1,0,1,1,2,NA,"-students are still working on the same project because next week they are expected to move on to something else
-I can see how they may be communicating findings because they are writing they're results on the sheet of paper in order to present they're findings (however, they are only making the presentation right now so I'm not sure if that counts?)
-one of the students is really behind and the teacher is trying to help him catch up (but seems frustrated)
-signal at 8:30 minutes","- students continuing to work on poster projects 
- instructor helping out a student, tells the student where his ""table"" and ""line graph"" go, asking questions about his table, ""you are using the numbers from the survey""
- instructor asking student how he got a certain number, offers suggestions to the student to help him put together his table 
- instructor tells another group of students they can go print off more pictures to fill up space on their poster 
- students take survey 
- students continue working on project, instructor tells some students where the ""ratio table"" goes and reminds them to label their tables 
- Did not see eny evidence of students generating data (although it seems that that is something they did previously), The only communicating I saw was when the instructor was talking to them about their projects but it was more geared towards the layout of the project rather than the results of their research or data 
- Modeling may have happened when the students were putting together their data into tables"
1,Boston - Dorchester House,2015-07-22,3,0,0,1,0,0,1,1,NA,"-the students are in a kitchen, mixing something together (based on the eggs on the counter I think they are baking)
-each student is assigned to a group that is in charge of a particular step in the baking(?) process
-the students are signaled at 5 minutes and then they mostly seem to be goofing around after that
-so I'm fairly certain they're making cookies (the instructor said something about cookie dough)
-I think this process is connected to their assignment with the baking ratios (but really it's just a way to get them engaged)","- students in kitchen following a recipe with the supervision of an instructor 
- instructor giving the students tips for preparing their ingredients, students mixing ingredients 
- students take survey 
- students continue baking 
- Did not see any exmaples of students generating data"
1,Boston - Dorchester House,2015-07-22,4,0,0,1,0,0,1,1,NA,"-the cookie dough is all mixed together, then the two groups will take turns putting the dough onto baking sheets
-they will each scoop one cookie on, to make sure there is enough for everyone
-the remainder of the video is students cleaning up themselves and the teacher puts the cookies in the oven","- students baking cookies in the kitchen (in groups), students mixing ingredients and scooping dough 
- Did not see any examples of students generating data"
1,Boston - Dorchester House,2015-07-28,1,1,0,0,0,0,1,1,NA,"-it seems like there is a new student in the class now? (I didn't see the Asian girl in pink before)
-the class splits in two groups for a competition, the teacher asks the students to assign one person as scribe
-he gives them a riddle, ""two fathers and two sons sat down to eat eggs for breakfast. They ate exactly three eggs, each person had an egg.""
-One person is the grandfather (I definitely did not figure that out before them)
-the teacher decides to give them another riddle (are they just passing time? doesn't seem to be math or science related)
----I take that back, he said the second riddle was more math related and it did require some ratio work but the signal goes off and cuts the video before the students start to solve the riddle","- students in classroom
- instructor gives the students a riddle to solve, students in groups writing down their thoughts and answers to the riddle (asking) 
- students give instructor their thoughts
- instructor gives students another riddle to work on, this riddle is math-related  (asking)"
1,Boston - Dorchester House,2015-07-28,2,0,0,0,0,0,0,0,NA,"-students are finishing up their research presentation posters
-students start to lose focus and play on their phones (the teacher walked out of the room to check on other students)",NA
1,Boston - Dorchester House,2015-07-28,3,0,0,0,1,0,1,1,NA,"-Their class topic is ""success""
-they are writing words on the board (as a class) that they associate with success
-then they pick one of the words, and then they are going to write it on a piece of paper and draw pictures that go along with it, which they work on for the remainder of the video","- students sitting at a table, instructor asks for a volunteer to ""write some words on the board"" for her
- instructor reminds students of what they had discussed previously in terms of what teh students think success is, asks students to think of other words they associate with success and student writes them on the board
- instructor asks students to draw pictures around one word they associate with success on a piece of paper
- students drawing on their papers 
- Did not see any work with data or anything STEM-related"
1,Boston - Dorchester House,2015-07-28,4,0,0,1,0,0,1,1,NA,"-the students are back in the recording room
-they have a week and a half to make a song: the beat is done and some of the lyrics are done but they still need to write a hook and record the whole thing
-one of the students is selected to rap the song they wrote, but struggles to find his flow a little bit
-after struggling for a bit, the group decides to remix a song that already exists instead of doing their original piece and decide on ""See You Again"" which is in one of the Fast and Furious movies","- students looking at computer that instructor is working on to make music 
- one students in booth singing
- instructor tells students they have a week and a hlaf to finish their song, tells them they need to come up with thier lyrics
- asks students who is going to do which parts of the song
- one student in the booth doing the rap for one part of the song, rest of the students watching as they make several attempts 
- Did not see any examples of generating or communicating data"
1,Boston - Dorchester House,2015-07-29,1,0,0,1,0,1,1,2,NA,"-students are working on one-step word problems
-some of the students are still working on their research poster
(only a 3 minute video)","- instructor handing out worksheets with word problems
- instructor gives candy to the ""winning team yesterday"" while the students are working on the word problems (generating) 
- Did not see any examples of communicating data"
1,Boston - Dorchester House,2015-07-29,2,0,0,0,0,0,0,0,NA,"-the first half of hte video is just the teacher trying to set up the room and get students to clean up and focus
-as soon as the teacher got set up, someone came and said they had a meeting in that room at 12:30 so they had to clean it all up and move to the gym",NA
