program_ID,program_name,response_date,signal_number,Asking,Observe,Generate,Model,Communicate,Any Work With Data,Sum Work With Data,Qualitative Coding,Initials,Josh notes
1,Boston - Dorchester House,2015-07-14,1,0,0,1,0,1,1,2,"-the students are filling out a sheet individually (seems to be a quiz to determine how much students already know, but that is just a guess)
-it looks like the teacher is filling out one too?
-so it's a math sheet that includes word problems about ratios
-students are asked to volunteer and write their answer on the board (sharing findings)
-generating data must have been coded for the ""data"" students generated being their answers to the math problem
-the teacher then goes over the answers with the entire class
-NOTE: this video is 18 minutes long",HM,
1,Boston - Dorchester House,2015-07-14,2,,,,,,0,0,"-the students are listening to the teacher give a lesson on ratios
-(the teacher's audio cuts in and out on this video)
-at 3:40 the audio cut out completely which may be why they did not code this video
-so I see the students are measuring themselves (generating data?) but because there is no audio I do not know what the purpose is
-they then go back to writing on their papers (no way of knowing what is on the paper with no audio)",HM,
1,Boston - Dorchester House,2015-07-14,3,,,,,,0,0,(no video),HM,
1,Boston - Dorchester House,2015-07-14,4,1,0,1,1,1,1,4,"-the teacher is messing around with some beats on a computer, mixing them (sorta like a garage band kind of thing) while the students watch from behind him
-he asks their opinions on the audio samples (but the students aren't saying much)
-this seems to be an introduction to a project they will be doing (making their own songs)
-the teacher shows them examples from previous years (which are actually pretty good!) and it seems like they can work on these in groups",HM,
1,Boston - Dorchester House,2015-07-15,1,0,0,1,0,1,1,2,"-looks like students are doing another math worksheet (I think about graphing)
-The students are generating data in tables and a double line graph based on the information they gathered (through a survey I think) 
----at least one of the students gathered information about whether people like Trey Songz or Chris Brown (but I don't know if they all gathered the same type of information)
----so far the teacher has called the graph a double line graph, double number graph, number line graph
-one of the students asks what the next step of their assignment is, and the teacher (pretty much) tells him to stay on task
-the teacher wanted to use excel to graph their data but not all (if any) of the computer has microsoft excel so the students are looking up pictures instead (the pictures relate to a class assignment, but I'm not sure how)
----they are printing the pictures they select",,
1,Boston - Dorchester House,2015-07-15,2,0,0,0,0,0,0,0,,KMS,
1,Boston - Dorchester House,2015-07-15,3,0,0,0,0,0,0,0,,KMS,
1,Boston - Dorchester House,2015-07-15,4,0,0,0,0,0,0,0,,KMS,
1,Boston - Dorchester House,2015-07-21,1,0,0,1,0,0,1,1,"-students are seperated into two teams of three and four students(boys and girls) to do a ""recipe ratio challenge""
----the team that finishes correctly gets the choice of whether the teacher will bring in brownies, cupcakes, or cookies
----so the students have to take a recipe that serves 20 people and figure out what measurements to use for ingredients to serve specific amounts of people (the amount of people in their class, the amount of people in the summer camp, etc.) and then they have to explain what they did on the poster board
-I suppose they're generating data as they do the convertions with ratios, as they are coming up with new data sets",HM,
1,Boston - Dorchester House,2015-07-21,2,0,1,1,0,0,1,2,"-students are working on a project/worksheet at a table in the gymnasium (I don't know why they're in the gym)
-they are still working on their recipe project
-after they finish they are expected to write their answers on a giant piece of paper, sharing findings
-the girls finish their work and the boys are very behind",HM,
1,Boston - Dorchester House,2015-07-21,3,1,0,0,1,0,1,2,"-there is no sound for the first 45 seconds of the video
-students are transferring picture they drew to triangular pieces of felt (they are meant to be banners, similar to ones you see for universities) about what they want to be when they grew up
----the students are also able to add things to their banners besides the drawings
-""what's the next step on your road to success?""
-they are asking questions about themselves, and reflecting on what they want to do when they get older, but not asking about science (though one student said she wanted to be a nurse, which is science related)
-this is coded for working with data models, but if they are it isn't science-related",HM,
